"id","in_address","match_status","match_type","matched_address","lon_lat","tlid","street_side","state_fips","county_fips","tract_fips","block_fips","lon","lat"
3,"10834 GOLF LINKS RD, Oakland, CA, 94605","Match","Exact","10834 GOLF LINKS RD, OAKLAND, CA, 94605","-122.126884,37.75383",125011765,"L",6,1,409900,NA,-122.126884,37.75383
2,"4728 SCOTIA AVE, Oakland, CA, 94605","Match","Exact","4728 SCOTIA AVE, OAKLAND, CA, 94605","-122.125046,37.75488",125011836,"R",6,1,409900,NA,-122.125046,37.75488
1,"10709 COTTER ST, Oakland, , 94605","Match","Exact","10709 COTTER ST, OAKLAND, CA, 94605","-122.12373,37.755764",125011838,"R",6,1,409900,NA,-122.12373,37.755764
10,"271 ELYSIAN FIELDS DR, Oakland, CA, 94605","Match","Exact","271 ELYSIAN FIELDS DR, OAKLAND, CA, 94605","-122.13135,37.759373",125011739,"R",6,1,409900,NA,-122.13135,37.759373
7,"4855 SCOTIA AVE, Oakland, CA, 94605","Match","Exact","4855 SCOTIA AVE, OAKLAND, CA, 94605","-122.12386,37.75519",125011839,"L",6,1,409900,NA,-122.12386,37.75519
6,"111 DONNA WAY, Oakland, CA, 94605","Match","Exact","111 DONNA WAY, OAKLAND, CA, 94605","-122.13217,37.760193",125011738,"L",6,1,409900,NA,-122.13217,37.760193
5,"380 ELYSIAN FIELDS DR, Oakland, CA, 94605","Match","Exact","380 ELYSIAN FIELDS DR, OAKLAND, CA, 94605","-122.12819,37.761078",125011702,"L",6,1,409900,NA,-122.12819,37.761078
4,"4627 GRASS VALLEY RD, Oakland, CA, 94605","Match","Exact","4627 GRASS VALLEY RD, OAKLAND, CA, 94605","-122.12256,37.751083",617284248,"L",6,1,409900,NA,-122.12256,37.751083
9,"10520 PEBBLE BEACH DR, Oakland, CA, 94605","Match","Exact","10520 PEBBLE BEACH DR, OAKLAND, CA, 94605","-122.12747,37.761383",125011703,"L",6,1,409900,NA,-122.12747,37.761383
8,"248 ELYSIAN FIELDS DR, Oakland, CA, 94605","Match","Exact","248 ELYSIAN FIELDS DR, OAKLAND, CA, 94605","-122.1325,37.759678",125011736,"L",6,1,409900,NA,-122.1325,37.759678
11,"4840 SHETLAND AVE, Oakland, CA, 94605","Match","Exact","4840 SHETLAND AVE, OAKLAND, CA, 94605","-122.12222,37.75289",125011864,"R",6,1,409900,NA,-122.12222,37.75289
12,"24 KEY CT, Oakland, CA, 94605","Match","Exact","24 KEY CT, OAKLAND, CA, 94605","-122.124565,37.755417",125011835,"R",6,1,409900,NA,-122.124565,37.755417
